2026-09-16 18:17:14 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-16 18:17:28 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:05:14 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:09:49 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:10:42 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=card1: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:16:55 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:17:26 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:23:54 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:24:20 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:25:45 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:32:44 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
2026-09-17 00:36:26 | INFO     | entity_features | Added leakage-safe rolling features for entity_col=entity: prior_tx_count, prior_amount_mean, prior_amount_max, amount_deviation_from_prior_mean (all computed with shift(1), so row i never sees its own amount).
